,Branch,Date,Segment,Rating,Tonnage,Qty,year_month,Month,weekofyear,quarter,dayofyear,month_sin,month_cos,week_sin,week_cos,qty_lag_1,qty_lag_2,qty_lag_3,qty_lag_6,qty_lag_12,qty_ma_3,qty_std_3,qty_ma_6,qty_std_6,qty_ma_12,qty_std_12,mom_growth,yoy_growth,rolling_trend_3,is_outlier,segment_code,rating_code,branch_code,tonnage_code,log_qty
1275,COK,2022-09-30,Inverter,3 Star,1.8,102.0,2022-09-01,9,39,3,273,-1.0,-1.8369701987210297e-16,-1.0,-1.8369701987210297e-16,68.0,175.5,119.0,2.0,13.0,115.16666666666667,54.94618579421981,81.25,64.4808110991158,61.708333333333336,51.49247885650866,0.49999999264705897,6.846153319526668,-0.03221288488336507,0,0,2,1,3,4.634728988229636
1276,COK,2022-09-30,Inverter,3 Star,1.0,484.0,2022-09-01,9,39,3,273,-1.0,-1.8369701987210297e-16,-1.0,-1.8369701987210297e-16,102.0,68.0,175.5,20.0,78.0,218.0,230.98917723564384,158.58333333333334,169.32938807739947,95.54166666666667,132.62891812965427,3.7450980024990392,5.205128138395794,0.24216524078538323,1,0,2,1,1,6.184148890937483
1277,COK,2022-09-30,Non Inv,3 Star,1.5,63.0,2022-09-01,9,39,3,273,-1.0,-1.8369701987210297e-16,-1.0,-1.8369701987210297e-16,484.0,102.0,68.0,3.0,46.0,216.33333333333334,232.62487685828663,168.58333333333334,159.80751442490606,96.95833333333333,132.14153196363768,-0.8698347089466225,0.3695652093572781,2.1813725169406006,0,1,2,1,2,4.1588830833596715
1278,COK,2022-09-30,Inverter,3 Star,1.5,290.0,2022-09-01,9,39,3,273,-1.0,-1.8369701987210297e-16,-1.0,-1.8369701987210297e-16,63.0,484.0,102.0,119.0,43.0,279.0,210.71544793868281,197.08333333333334,164.37895749355076,117.54166666666667,141.85291010783217,3.6031745459813567,5.744185912925909,1.7352941006343716,0,0,2,1,2,5.673323267171493
1279,COK,2022-10-31,Non Inv,3 Star,1.5,72.0,2022-10-01,10,44,4,304,-0.8660254037844386,0.5000000000000001,-0.822983865893657,0.5680647467311548,290.0,63.0,484.0,175.5,21.0,141.66666666666666,128.53922877212605,179.83333333333334,172.33504189997623,121.79166666666667,139.44100387119337,-0.7517241353388823,2.4285713129251754,-0.7073002740207296,0,1,2,1,2,4.290459441148391
1280,COK,2022-10-31,Non Inv,3 Star,1.0,39.0,2022-10-01,10,44,4,304,-0.8660254037844386,0.5000000000000001,-0.822983865893657,0.5680647467311548,72.0,290.0,63.0,68.0,63.0,133.66666666666666,136.39037111663328,175.0,176.45622686660818,119.79166666666667,140.52878358240926,-0.4583333269675927,-0.38095237490551787,1.1216931038884692,0,1,2,1,1,3.6888794541139363
1281,COK,2022-10-31,Non Inv,3 Star,0.8,21.0,2022-10-01,10,44,4,304,-0.8660254037844386,0.5000000000000001,-0.822983865893657,0.5680647467311548,39.0,72.0,290.0,102.0,2.0,44.0,25.865034312746168,161.5,185.9986559091218,121.375,139.1815565433089,-0.4615384497041424,9.499995250002375,-0.8482758591438764,0,1,2,1,0,3.091042453358316
1282,COK,2022-10-31,Non Inv,1 Star,1.8,25.0,2022-10-01,10,44,4,304,-0.8660254037844386,0.5000000000000001,-0.822983865893657,0.5680647467311548,21.0,39.0,72.0,484.0,20.0,28.333333333333332,9.451631252479983,85.0,102.45974819410722,121.79166666666667,138.85758864477856,0.19047618140589612,0.2499999875000006,-0.6064814730581278,0,1,0,1,3,3.258096538021482
1283,COK,2022-10-31,Inverter,5 Star,1.8,4.0,2022-10-01,10,44,4,304,-0.8660254037844386,0.5000000000000001,-0.822983865893657,0.5680647467311548,25.0,21.0,39.0,63.0,3.0,16.666666666666668,11.150485789096637,75.16666666666667,107.69107050571334,121.875,138.7800950162788,-0.8399999664000013,0.33333322222225925,-0.5726495579662506,0,0,4,1,3,1.6094379124341003
1284,COK,2022-10-31,Inverter,5 Star,1.5,90.5,2022-10-01,10,44,4,304,-0.8660254037844386,0.5000000000000001,-0.822983865893657,0.5680647467311548,4.0,25.0,21.0,290.0,119.0,39.833333333333336,45.1174393481375,41.916666666666664,32.97031493126065,119.5,139.0773166264007,21.62499459375135,-0.23949579630675802,0.8968253541194277,0,0,4,1,2,4.516338972281476
