Date,Qty
2021-11-30,1984.0
2021-12-02,84.0
2021-12-03,330.0
2021-12-04,186.0
2021-12-06,135.5
2021-12-07,146.0
2021-12-08,151.0
2021-12-09,447.5
2021-12-10,351.5
2021-12-11,209.0
2021-12-13,874.5
2021-12-14,699.5
2021-12-15,2252.0
2021-12-16,2783.5
2021-12-17,2234.0
2021-12-18,2110.0
2021-12-19,998.0
2021-12-20,1681.0
2021-12-21,2270.5
2021-12-22,1114.0
2021-12-23,1909.0
2021-12-24,2259.0
2021-12-26,736.0
2021-12-27,2929.0
2021-12-28,1993.0
2021-12-29,3487.5
2021-12-30,2615.0
2021-12-31,1554.5
2022-01-04,9.0
2022-01-05,730.5
2022-01-06,458.0
2022-01-07,1344.0
2022-01-08,955.0
2022-01-10,438.5
2022-01-11,334.0
2022-01-12,782.0
2022-01-13,454.0
2022-01-14,187.0
2022-01-15,141.0
2022-01-17,657.0
2022-01-18,223.0
2022-01-19,259.0
2022-01-20,244.5
2022-01-21,336.0
2022-01-22,70.0
2022-01-24,144.0
2022-01-25,257.0
2022-01-27,890.5
2022-01-28,731.0
2022-01-29,790.0
2022-01-30,83.0
2022-01-31,1320.5
2022-02-02,27.0
2022-02-03,93.0
2022-02-04,316.0
2022-02-05,14.0
2022-02-07,443.0
2022-02-08,284.0
2022-02-09,310.0
2022-02-10,335.5
2022-02-11,465.0
2022-02-12,63.0
2022-02-14,509.0
2022-02-15,317.0
2022-02-16,859.0
2022-02-17,359.0
2022-02-18,703.0
2022-02-19,630.5
2022-02-21,713.5
2022-02-22,1108.0
2022-02-23,1293.0
2022-02-24,1919.0
2022-02-25,2423.0
2022-02-26,2044.5
2022-02-27,2810.0
2022-02-28,6253.5
2022-03-01,302.0
2022-03-02,132.0
2022-03-03,531.0
2022-03-04,550.0
2022-03-05,343.0
2022-03-07,982.5
2022-03-08,656.0
2022-03-09,571.5
2022-03-10,572.5
2022-03-11,1200.0
2022-03-12,542.0
2022-03-14,1056.0
2022-03-15,1547.0
2022-03-16,1601.0
2022-03-17,1205.0
2022-03-18,396.0
2022-03-19,370.0
2022-03-20,772.0
2022-03-21,2005.0
2022-03-22,3432.0
2022-03-23,3347.5
2022-03-24,3902.0
2022-03-25,5400.0
2022-03-26,2611.0
2022-03-27,433.0
2022-03-28,113.0
2022-03-29,164.0
2022-03-30,20.0
2022-04-01,642.0
2022-04-02,937.0
2022-04-03,992.0
2022-04-04,1868.0
2022-04-05,1144.0
2022-04-06,1461.0
2022-04-07,1334.0
2022-04-08,1764.0
2022-04-09,1872.0
2022-04-10,565.0
2022-04-11,1548.5
2022-04-12,1463.0
2022-04-13,1188.0
2022-04-14,836.0
2022-04-15,1835.0
2022-04-16,1791.0
2022-04-18,705.5
2022-04-19,1311.0
2022-04-20,1802.0
2022-04-21,1281.0
2022-04-22,2318.5
2022-04-23,882.0
2022-04-24,333.0
2022-04-25,1480.5
2022-04-26,1244.5
2022-04-27,862.0
2022-04-28,1160.0
2022-04-29,3864.0
2022-04-30,4087.0
2022-05-02,107.0
2022-05-03,568.0
2022-05-04,618.0
2022-05-05,725.0
2022-05-06,612.0
2022-05-07,338.5
2022-05-09,779.0
2022-05-10,509.5
2022-05-11,638.0
2022-05-12,739.5
2022-05-13,747.5
2022-05-14,512.0
2022-05-16,355.5
2022-05-17,586.0
2022-05-18,685.5
2022-05-19,1322.5
2022-05-20,1377.0
2022-05-21,752.0
2022-05-23,501.0
2022-05-24,840.0
2022-05-25,581.0
2022-05-26,913.0
2022-05-27,1551.5
2022-05-28,1070.0
2022-05-29,89.0
2022-05-30,2001.5
2022-05-31,2114.0
2022-06-02,2.0
2022-06-03,132.0
2022-06-04,66.0
2022-06-06,197.5
2022-06-07,249.0
2022-06-08,160.0
2022-06-09,395.5
2022-06-10,147.5
2022-06-11,185.0
2022-06-13,358.0
2022-06-14,424.5
2022-06-15,307.0
2022-06-16,934.0
2022-06-17,646.0
2022-06-18,628.0
2022-06-19,135.0
2022-06-20,366.0
2022-06-21,685.5
2022-06-22,551.0
2022-06-23,890.0
2022-06-24,779.5
2022-06-25,1191.0
2022-06-26,261.0
2022-06-27,1089.5
2022-06-28,1303.0
2022-06-29,1685.0
